Gene,gene.description
AT4G23190,Cysteine-rich receptor-like protein kinase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZP16]
AT3G48450,RPM1-interacting protein 4 (RIN4) family protein [Source:TAIR;Acc:AT3G48450]
AT1G30620,UDP-arabinose 4-epimerase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA77]
AT1G22070,Transcription factor TGA3 [Source:UniProtKB/Swiss-Prot;Acc:Q39234]
AT1G53470,Mechanosensitive ion channel protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPG3]
AT5G12420,O-acyltransferase (WSD1-like) family protein [Source:TAIR;Acc:AT5G12420]
AT1G20900,AT-hook motif nuclear-localized protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7C9]
AT5G64030,Probable methyltransferase PMT26 [Source:UniProtKB/Swiss-Prot;Acc:Q8L7V3]
AT4G31910,HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT4G31910]
AT3G56620,WAT1-related protein At3g56620 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXX8]
AT3G46700,UDP-glycosyltransferase 76E3 [Source:UniProtKB/Swiss-Prot;Acc:Q494Q1]
AT1G49500,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: u /.../ protein (TAIR:AT3G19030.1); Has 24 Blast hits to 24 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G49500]
AT1G31470,Protein NUCLEAR FUSION DEFECTIVE 4 [Source:UniProtKB/Swiss-Prot;Acc:F4I9E1]
AT5G49770,Probable leucine-rich repeat receptor-like protein kinase At5g49770 [Source:UniProtKB/Swiss-Prot;Acc:Q9LT96]
AT2G47420,Ribosomal RNA adenine dimethylase family protein [Source:TAIR;Acc:AT2G47420]
AT1G10480,Zinc finger protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q39264]
AT1G64370,unknown protein; Has 773 Blast hits to 375 proteins in 118 species: Archae - 0; Bacteria - 97; Metazoa - 421; Fungi - 108; Plants - 31; Viruses - 0; Other Eukaryotes - 116 (source: NCBI BLink). [Source:TAIR;Acc:AT1G64370]
AT3G24020,Dirigent protein 16 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y225]
AT2G38110,Glycerol-3-phosphate 2-O-acyltransferase 6 [Source:UniProtKB/Swiss-Prot;Acc:O80437]
AT2G30970,"Aspartate aminotransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P46643]"
AT1G26250,Proline-rich extensin-like family protein [Source:TAIR;Acc:AT1G26250]
AT1G67148,unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G67148]
AT1G56220,Dormancy/auxin associated family protein [Source:TAIR;Acc:AT1G56220]
AT2G38740,Haloacid dehalogenase-like hydrolase domain-containing protein Sgpp [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVJ5]
AT1G34670,myb domain protein 93 [Source:TAIR;Acc:AT1G34670]
AT3G23800,Selenium-binding protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK38]
AT3G20370,TRAF-like family protein [Source:TAIR;Acc:AT3G20370]
AT2G17330,putative obtusifoliol 14-alpha demethylase. Expressed pseudogene. [Source:TAIR;Acc:AT2G17330]
AT1G17290,"Alanine aminotransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4I7I0]"
AT3G32040,"Geranylgeranyl pyrophosphate synthase 12, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LHR4]"
AT1G24430,HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT1G24430]
AT4G20240,"cytochrome P450, family 71, subfamily A, polypeptide 27 [Source:TAIR;Acc:AT4G20240]"
AT2G46890,Protein of unknown function (DUF1295) [Source:TAIR;Acc:AT2G46890]
AT1G64780,Ammonium transporter 1 member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPJ8]
AT2G41540,"Glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:O22216]"
AT3G49780,Phytosulfokines 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2Y0]
AT2G39310,Jacalin-related lectin 22 [Source:UniProtKB/Swiss-Prot;Acc:O80950]
AT5G49460,ATP-citrate synthase beta chain protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGX1]
AT3G23570,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT3G23570]
AT5G66760,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O82663]"
AT3G02360,"6-phosphogluconate dehydrogenase, decarboxylating 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWA3]"
AT3G04220,Disease resistance protein (TIR-NBS-LRR class) family [Source:TAIR;Acc:AT3G04220]
AT2G03690,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPR0]"
AT4G22710,"cytochrome P450, family 706, subfamily A, polypeptide 2 [Source:TAIR;Acc:AT4G22710]"
AT3G04370,Cysteine-rich repeat secretory protein 39 [Source:UniProtKB/Swiss-Prot;Acc:Q6E263]
AT1G11930,"Predicted pyridoxal phosphate-dependent enzyme, YBL036C type [Source:TAIR;Acc:AT1G11930]"
AT4G14365,Putative E3 ubiquitin-protein ligase XBAT34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPH0]
AT2G28760,UDP-glucuronic acid decarboxylase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV36]
AT1G56320,BEST Arabidopsis thaliana protein match is: Glycine-rich protein family (TAIR:AT5G49350.2); Has 60 Blast hits to 60 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 60; Viruses - 0; Other Eukaryotes - 0 (source: NCB /.../k). [Source:TAIR;Acc:AT1G56320]
AT5G19550,"Aspartate aminotransferase, cytoplasmic isozyme 1 [Source:UniProtKB/Swiss-Prot;Acc:P46645]"
AT1G73220,Organic cation/carnitine transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAT6]
AT1G72770,Protein phosphatase 2C 16 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAJ0]
AT3G23730,Probable xyloglucan endotransglucosylase/hydrolase protein 16 [Source:UniProtKB/Swiss-Prot;Acc:Q8LG58]
AT3G45980,Histone H2B.6 [Source:UniProtKB/Swiss-Prot;Acc:O23629]
AT5G44030,Cellulose synthase A catalytic subunit 4 [UDP-forming] [Source:UniProtKB/Swiss-Prot;Acc:Q84JA6]
AT2G46130,Probable WRKY transcription factor 43 [Source:UniProtKB/Swiss-Prot;Acc:Q8GY11]
AT3G51340,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT3G51340]
AT2G39800,Delta-1-pyrroline-5-carboxylate synthase A [Source:UniProtKB/Swiss-Prot;Acc:P54887]
AT1G70580,Glutamate--glyoxylate aminotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7E9]
AT1G13340,Regulator of Vps4 activity in the MVB pathway protein [Source:TAIR;Acc:AT1G13340]
AT5G46050,Protein NRT1/ PTR FAMILY 5.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNL7]
AT5G14230,"CONTAINS InterPro DOMAIN/s: Ankyrin repeat-containing domain (InterPro:IPR020683), Ankyrin repeat (InterPro:IPR002110); BEST Arabidopsis thaliana protein match is: XB3 ortholog 2 in Arabidopsis thaliana (TAIR:AT5G57740.1); Has 66374 Blast hits to 25 /.../oteins in 1201 species: Archae - 121; Bacteria - 8133; Metazoa - 29530; Fungi - 5885; Plants - 3349; Viruses - 785; Other Eukaryotes - 18571 (source: NCBI BLink). [Source:TAIR;Acc:AT5G14230]"
AT3G53230,Cell division control protein 48 homolog D [Source:UniProtKB/Swiss-Prot;Acc:Q9SCN8]
AT5G37510,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9FGI6]"
AT5G16480,Phosphotyrosine protein phosphatases superfamily protein [Source:TAIR;Acc:AT5G16480]
AT2G15220,Plant basic secretory protein (BSP) family protein [Source:TAIR;Acc:AT2G15220]
AT5G59220,Probable protein phosphatase 2C 78 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIF5]
AT3G55430,O-Glycosyl hydrolases family 17 protein [Source:TAIR;Acc:AT3G55430]
AT3G21670,Protein NRT1/ PTR FAMILY 6.4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LVE0]
AT1G30880,unknown protein; Has 24 Blast hits to 24 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G30880]
AT4G36760,aminopeptidase P1 [Source:TAIR;Acc:AT4G36760]
AT4G20140,LRR receptor-like serine/threonine-protein kinase GSO1 [Source:UniProtKB/Swiss-Prot;Acc:C0LGQ5]
AT2G31680,Ras-related protein RABA5d [Source:UniProtKB/Swiss-Prot;Acc:Q9SIP0]
AT3G12750,Zinc transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:O81123]
AT5G02770,Protein MODIFIER OF SNC1 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ08]
AT5G61440,"Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]"
AT2G23000,Serine carboxypeptidase-like 10 [Source:UniProtKB/Swiss-Prot;Acc:O64810]
AT4G01870,tolB protein-related [Source:TAIR;Acc:AT4G01870]
AT2G01150,Probable E3 ubiquitin-protein ligase RHA2B [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU51]
AT3G62730,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, LP.02 two leaves visible /.../l differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G47980.1); Has 172 Blast hits to 172 proteins in 41 species: Archae - 0; Bacteria - 73; Metazoa - 0; Fungi - 0; Plants - 99; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G62730]"
AT1G04360,RING-H2 finger protein ATL1 [Source:UniProtKB/Swiss-Prot;Acc:P93823]
AT2G03440,nodulin-related protein 1 [Source:TAIR;Acc:AT2G03440]
AT5G05880,UDP-glycosyltransferase 76C4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI98]
AT2G45380,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: inflorescence meristem, flower, cultured cell; EXPRESSED DURING: petal differentiation and expansion stage; BEST /.../dopsis thaliana protein match is: Calcium-binding EF-hand family protein (TAIR:AT4G34070.1); Has 171 Blast hits to 170 proteins in 31 species: Archae - 2; Bacteria - 0; Metazoa - 68; Fungi - 0; Plants - 94; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink). [Source:TAIR;Acc:AT2G45380]"
AT2G28520,V-type proton ATPase subunit a1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWZ7]
AT4G17730,Syntaxin-23 [Source:UniProtKB/Swiss-Prot;Acc:O04378]
AT4G21410,Cysteine-rich receptor-like protein kinase 29 [Source:UniProtKB/Swiss-Prot;Acc:Q8S9L6]
AT1G01090,"Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O24457]"
AT2G21880,Ras-related protein RABG2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ11]
AT2G48140,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT2G48140]
AT1G28815,unknown protein; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G28815]
AT2G04160,Subtilisin-like protease SBT5.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSP5]
AT1G48480,Probable inactive receptor kinase At1g48480 [Source:UniProtKB/Swiss-Prot;Acc:Q9LP77]
AT2G17220,Protein kinase superfamily protein [Source:TAIR;Acc:AT2G17220]
AT2G14878,
AT4G18425,Protein of unknown function (DUF679) [Source:TAIR;Acc:AT4G18425]
AT5G67210,Protein IRX15-LIKE [Source:UniProtKB/Swiss-Prot;Acc:Q9FH92]
AT1G64230,Ubiquitin-conjugating enzyme E2 28 [Source:UniProtKB/Swiss-Prot;Acc:Q94F47]
AT2G15580,RING/U-box superfamily protein [Source:TAIR;Acc:AT2G15580]
AT2G47550,Probable pectinesterase/pectinesterase inhibitor 20 [Source:UniProtKB/Swiss-Prot;Acc:O22256]
AT1G20070,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; Has 26 Blast hits to 26 proteins in 9 species: Archae /.../Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G20070]
AT5G45810,CBL-interacting serine/threonine-protein kinase 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ55]
AT1G75780,Tubulin beta-1 chain [Source:UniProtKB/Swiss-Prot;Acc:P12411]
AT5G18980,ARM repeat superfamily protein [Source:TAIR;Acc:AT5G18980]
AT5G40760,"Glucose-6-phosphate 1-dehydrogenase, cytoplasmic isoform 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJI5]"
AT1G69252,other RNA [Source:TAIR;Acc:AT1G69252]
AT1G49580,CDPK-related kinase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX86]
AT5G40390,Probable galactinol--sucrose galactosyltransferase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FND9]
AT2G34810,FAD-binding Berberine family protein [Source:TAIR;Acc:AT2G34810]
AT3G17160,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 54259 Blast hits to 25265 proteins /.../09 species: Archae - 350; Bacteria - 10795; Metazoa - 16137; Fungi - 8620; Plants - 3305; Viruses - 957; Other Eukaryotes - 14095 (source: NCBI BLink). [Source:TAIR;Acc:AT3G17160]
AT1G51680,4-coumarate--CoA ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q42524]
AT5G09800,U-box domain-containing protein 28 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXE3]
AT4G20390,CASP-like protein 1B2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUP0]
AT3G26610,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT3G26610]
AT2G38940,Inorganic phosphate transporter 1-4 [Source:UniProtKB/Swiss-Prot;Acc:Q96303]
AT5G64110,Peroxidase 70 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMI7]
AT2G40940,Ethylene response sensor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q38846]
AT1G11170,Protein of unknown function (DUF707) [Source:TAIR;Acc:AT1G11170]
AT1G21110,O-methyltransferase family protein [Source:TAIR;Acc:AT1G21110]
AT4G15500,UDP-glycosyltransferase 84A4 [Source:UniProtKB/Swiss-Prot;Acc:O23402]
AT5G42590,Cytochrome P450 71A16 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH66]
AT1G05470,"Type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR47]"
AT1G69880,Thioredoxin H8 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAS1]
AT5G65140,Probable trehalose-phosphate phosphatase J [Source:UniProtKB/Swiss-Prot;Acc:Q5HZ05]
AT1G14160,CASP-like protein 1A1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI72]
AT5G20270,Heptahelical transmembrane protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZH9]
AT1G51200,Zinc finger A20 and AN1 domain-containing stress-associated protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8H0X0]
AT4G37430,Cytochrome P450 81F1 [Source:UniProtKB/Swiss-Prot;Acc:O65790]
AT4G18510,CLAVATA3/ESR (CLE)-related protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O49519]
AT5G54500,NAD(P)H dehydrogenase (quinone) FQR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSQ5]
AT1G63980,D111/G-patch domain-containing protein [Source:TAIR;Acc:AT1G63980]
AT3G02790,zinc finger (C2H2 type) family protein [Source:TAIR;Acc:AT3G02790]
AT3G56880,VQ motif-containing protein [Source:TAIR;Acc:AT3G56880]
AT3G25700,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT3G25700]
AT1G05700,Probable LRR receptor-like serine/threonine-protein kinase At1g05700 [Source:UniProtKB/Swiss-Prot;Acc:C0LGD6]
AT2G37410,Mitochondrial import inner membrane translocase subunit TIM17-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SP35]
AT3G62290,ADP-ribosylation factor A1E [Source:TAIR;Acc:AT3G62290]
AT4G12480,Lipid transfer protein EARLI 1 [Source:UniProtKB/Swiss-Prot;Acc:Q39176]
AT4G35350,Xylem cysteine proteinase 1 [Source:UniProtKB/Swiss-Prot;Acc:O65493]
AT1G08920,Sugar transporter ERD6-like 3 [Source:UniProtKB/Swiss-Prot;Acc:Q94KE0]
AT2G39810,E3 ubiquitin-protein ligase HOS1 [Source:UniProtKB/Swiss-Prot;Acc:Q84JU6]
AT2G39050,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT2G39050]
AT1G49960,Nucleobase-ascorbate transporter 4 [Source:UniProtKB/Swiss-Prot;Acc:P93039]
AT5G37600,Glutamine synthetase cytosolic isozyme 1-1 [Source:UniProtKB/Swiss-Prot;Acc:Q56WN1]
AT5G05390,Laccase-12 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLB5]
AT1G15670,F-box/kelch-repeat protein At1g15670 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMR5]
AT2G18000,Transcription initiation factor TFIID subunit 14 [Source:UniProtKB/Swiss-Prot;Acc:F4IPK2]
AT5G44585,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422;  /.../ - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G44585]
AT5G43460,HR-like lesion-inducing protein-related [Source:TAIR;Acc:AT5G43460]
AT4G29930,Transcription factor bHLH27 [Source:UniProtKB/Swiss-Prot;Acc:Q700E3]
AT5G53160,Abscisic acid receptor PYL8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGM1]
AT1G21140,Vacuolar iron transporter homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPU9]
AT1G18870,"Isochorismate synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M9V6]"
AT4G15780,vesicle-associated membrane protein 724 [Source:TAIR;Acc:AT4G15780]
AT2G17500,Auxin efflux carrier family protein [Source:TAIR;Acc:AT2G17500]
AT1G56200,embryo defective 1303 [Source:TAIR;Acc:AT1G56200]
AT5G65640,Transcription factor bHLH93 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSL1]
AT2G22080,unknown protein; Has 96314 Blast hits to 34847 proteins in 1702 species: Archae - 612; Bacteria - 27969; Metazoa - 24311; Fungi - 12153; Plants - 4409; Viruses - 1572; Other Eukaryotes - 25288 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22080]
AT4G16155,dihydrolipoyl dehydrogenases [Source:TAIR;Acc:AT4G16155]
AT2G31585,other RNA [Source:TAIR;Acc:AT2G31585]
AT1G26560,Beta-glucosidase 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZE0]
AT1G05310,Probable pectinesterase 8 [Source:UniProtKB/Swiss-Prot;Acc:O23038]
AT5G65430,14-3-3-like protein GF14 kappa [Source:UniProtKB/Swiss-Prot;Acc:P48348]
AT5G04970,Probable pectinesterase/pectinesterase inhibitor 47 [Source:UniProtKB/Swiss-Prot;Acc:Q9FF77]
AT2G39510,WAT1-related protein At2g39510 [Source:UniProtKB/Swiss-Prot;Acc:O80638]
AT2G38310,Abscisic acid receptor PYL4 [Source:UniProtKB/Swiss-Prot;Acc:O80920]
AT3G08720,Serine/threonine-protein kinase AtPK2/AtPK19 [Source:UniProtKB/Swiss-Prot;Acc:Q39030]
AT1G06120,Delta-9 desaturase-like 3 protein [Source:UniProtKB/Swiss-Prot;Acc:Q9FPD5]
AT3G14940,Phosphoenolpyruvate carboxylase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q84VW9]
AT4G14440,Enoyl-CoA delta isomerase 3 [Source:UniProtKB/Swiss-Prot;Acc:O23300]
AT1G78060,Probable beta-D-xylosidase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SGZ5]
AT2G18440,GUT15 (GENE WITH UNSTABLE TRANSCRIPT 15); other RNA [Source:TAIR;Acc:AT2G18440]
AT3G47420,Putative glycerol-3-phosphate transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5L3]
AT4G39080,V-type proton ATPase subunit a3 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4S4]
AT5G18830,Squamosa promoter-binding-like protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q8S9G8]
AT4G01120,G-box-binding factor 2 [Source:UniProtKB/Swiss-Prot;Acc:P42775]
AT4G17480,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT4G17480]
AT3G14150,Peroxisomal (S)-2-hydroxy-acid oxidase GLO3 [Source:UniProtKB/Swiss-Prot;Acc:Q24JJ8]
AT3G45160,Putative membrane lipoprotein [Source:TAIR;Acc:AT3G45160]
AT1G63530,BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT1G63540.1); Has 10212 Blast hits to 4024 proteins in 434 species: Archae - 1; Bacteria - 1259; Metazoa - 3608; Fungi - 2247; Plants - 291; Viruses -  /.../her Eukaryotes - 2716 (source: NCBI BLink). [Source:TAIR;Acc:AT1G63530]
AT3G23470,Cyclopropane-fatty-acyl-phospholipid synthase [Source:TAIR;Acc:AT3G23470]
AT4G30290,Probable xyloglucan endotransglucosylase/hydrolase protein 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0D1]
AT5G43540,C2H2 and C2HC zinc fingers superfamily protein [Source:TAIR;Acc:AT5G43540]
AT5G46610,Aluminum-activated malate transporter 14 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS22]
AT2G43120,Pirin-like protein At2g43120 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW82]
AT1G11185,other RNA [Source:TAIR;Acc:AT1G11185]
AT3G44730,Kinesin KP1 [Source:UniProtKB/Swiss-Prot;Acc:Q8W1Y3]
AT3G08860,"Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SR86]"
AT1G20260,V-type proton ATPase subunit B3 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4E2]
AT5G01350,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 /.../es: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G01350]
AT3G63200,Probable inactive patatin-like protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZQ3]
AT5G40640,unknown protein; LOCATED IN: plasma membrane; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27390.1); Has 104 Blast hits to 102 proteins in 14 species: Arc /.../0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 101; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink). [Source:TAIR;Acc:AT5G40640]
AT5G17310,UTP--glucose-1-phosphate uridylyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:P57751]
AT2G43535,Defensin-like protein 196 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE7]
AT5G26330,Cupredoxin superfamily protein [Source:TAIR;Acc:AT5G26330]
AT5G58575,"CONTAINS InterPro DOMAIN/s: Sgf11, transcriptional regulation (InterPro:IPR013246); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 29 /.../urce: NCBI BLink). [Source:TAIR;Acc:AT5G58575]"
AT2G18360,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT2G18360]
AT5G49800,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:TAIR;Acc:AT5G49800]
AT4G23510,Disease resistance protein (TIR-NBS-LRR class) family [Source:TAIR;Acc:AT4G23510]
AT1G64940,"cytochrome P450, family 87, subfamily A, polypeptide 6 [Source:TAIR;Acc:AT1G64940]"
AT5G19440,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT5G19440]
AT3G29000,Probable calcium-binding protein CML30 [Source:UniProtKB/Swiss-Prot;Acc:Q9MBG5]
AT1G29000,Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT1G29000]
AT3G26770,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT3G26770]
AT5G10180,Sulfate transporter 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O04722]
AT3G28580,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT3G28580]
